Crop_Type,Soil_Type,Pesticide_Use_Category,Estimated_Insects_Count,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Crop_Damage
Kharif,Black-Cotton,Bactericides,2688,10,57,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1056,30,41,0,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,2267,60,41,13,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,3515,20,51,10,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1212,15,17,20,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,2840,20,48,1,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,984,50,22,16,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,1678,20,22,17,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,531,60,31,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,789,50,29,8,Winter,Minimal Damage
Kharif,Alluvial,Bactericides,1678,15,25,0,Summer,Minimal Damage
Rabi,Alluvial,Bactericides,915,35,25,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1478,70,36,10,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1678,10,18,24,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,1786,40,32,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,488,20,19,9,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,1478,5,39,3,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,1576,5,32,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,984,20,16,23,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1785,60,44,3,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1478,50,15,31,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,851,40,18,14,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,531,35,11,12,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,3702,10,42,22,Summer,Minimal Damage
Rabi,Alluvial,Bactericides,283,25,22,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1385,30,13,1,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,851,65,14,18,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1478,30,24,21,Summer,Minimal Damage
